"Index","VGSTX.Open","VGSTX.High","VGSTX.Low","VGSTX.Close","VGSTX.Volume","VGSTX.Adjusted"
2013-09-26,23.1,23.1,23.1,23.1,0,19.675959
2013-09-27,23.07,23.07,23.07,23.07,0,19.650405
2013-09-30,22.99,22.99,22.99,22.99,0,19.582263
2013-10-01,23.120001,23.120001,23.120001,23.120001,0,19.692994
2013-10-02,23.120001,23.120001,23.120001,23.120001,0,19.692994
2013-10-03,23.02,23.02,23.02,23.02,0,19.607817
2013-10-04,23.09,23.09,23.09,23.09,0,19.667441
2013-10-07,22.98,22.98,22.98,22.98,0,19.573745
2013-10-08,22.780001,22.780001,22.780001,22.780001,0,19.403391
2013-10-09,22.76,22.76,22.76,22.76,0,19.386356
2013-10-10,23.049999,23.049999,23.049999,23.049999,0,19.633369
2013-10-11,23.16,23.16,23.16,23.16,0,19.727064
2013-10-14,23.209999,23.209999,23.209999,23.209999,0,19.769652
2013-10-15,23.120001,23.120001,23.120001,23.120001,0,19.692994
2013-10-16,23.32,23.32,23.32,23.32,0,19.863348
2013-10-17,23.48,23.48,23.48,23.48,0,19.999632
2013-10-18,23.610001,23.610001,23.610001,23.610001,0,20.110363
2013-10-21,23.610001,23.610001,23.610001,23.610001,0,20.110363
2013-10-22,23.73,23.73,23.73,23.73,0,20.212575
2013-10-23,23.629999,23.629999,23.629999,23.629999,0,20.127397
2013-10-24,23.700001,23.700001,23.700001,23.700001,0,20.187023
2013-10-25,23.73,23.73,23.73,23.73,0,20.212575
